#TYPE Selected.Microsoft.ActiveDirectory.Management.ADPrincipal
"distinguishedName","name","objectClass","objectGUID","SamAccountName","SID","PropertyNames","PropertyCount"
"CN=RG-Excelsior_Purchasing_Manager,OU=Role,OU=Groups,OU=Special,DC=medline,DC=com","RG-Excelsior_Purchasing_Manager","group","09d22330-eaff-466b-84df-c6008745d0f5","RG-Excelsior_Purchasing_Manager","S-1-5-21-414468895-1955670742-9522986-126085","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RG-Excelsior_Executive_VP,OU=Role,OU=Groups,OU=Special,DC=medline,DC=com","RG-Excelsior_Executive_VP","group","9d506792-0424-4c40-a6e8-e7bacd475f60","RG-Excelsior_Executive_VP","S-1-5-21-414468895-1955670742-9522986-126067","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RG-Excelsior_Accounting_Exec,OU=Role,OU=Groups,OU=Special,DC=medline,DC=com","RG-Excelsior_Accounting_Exec","group","258be3b0-f82a-400a-88a6-015ea863c6e5","RG-Excelsior_Accounting_Exec","S-1-5-21-414468895-1955670742-9522986-126057","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RG-Excelsior_Accountant,OU=Role,OU=Groups,OU=Special,DC=medline,DC=com","RG-Excelsior_Accountant","group","70c81871-a69a-49af-89da-d0a580ee5496","RG-Excelsior_Accountant","S-1-5-21-414468895-1955670742-9522986-126056","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RU_EXC_Executive_VP,OU=Role,OU=Groups,OU=Special,DC=excelsior,DC=local","RU_EXC_Executive_VP","group","dde7f05d-45b7-4bd9-9d6c-a2007c0dfe4d","RU_EXC_Executive_VP","S-1-5-21-1423321487-3235797415-1610782679-8462","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RU_EXC_Purchasing_Manager,OU=Role,OU=Groups,OU=Special,DC=excelsior,DC=local","RU_EXC_Purchasing_Manager","group","0bb79896-1d11-40cc-aa8e-cbba4b5d68c2","RU_EXC_Purchasing_Manager","S-1-5-21-1423321487-3235797415-1610782679-8455","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RU_EXC_Accountant,OU=Role,OU=Groups,OU=Special,DC=excelsior,DC=local","RU_EXC_Accountant","group","8137432d-4e6c-44d5-93d7-a513156776d5","RU_EXC_Accountant","S-1-5-21-1423321487-3235797415-1610782679-7215","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RU_EXC_Accounting_Exec,OU=Role,OU=Groups,OU=Special,DC=excelsior,DC=local","RU_EXC_Accounting_Exec","group","c426d3da-9545-4a78-908e-3fa26e1c7404","RU_EXC_Accounting_Exec","S-1-5-21-1423321487-3235797415-1610782679-7214","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RG-Excelsior_Executive_VP,OU=Role,OU=Groups,OU=Special,DC=medline,DC=com","RG-Excelsior_Executive_VP","group","9d506792-0424-4c40-a6e8-e7bacd475f60","RG-Excelsior_Executive_VP","S-1-5-21-414468895-1955670742-9522986-126067","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
"CN=RG-Excelsior_Accounting_Exec,OU=Role,OU=Groups,OU=Special,DC=medline,DC=com","RG-Excelsior_Accounting_Exec","group","258be3b0-f82a-400a-88a6-015ea863c6e5","RG-Excelsior_Accounting_Exec","S-1-5-21-414468895-1955670742-9522986-126057","System.Collections.Generic.SortedDictionary`2+KeyCollection[System.String,Microsoft.ActiveDirectory.Management.ADPropertyValueCollection]","6"
