"Name","Sharename","Comment","ComputerName","PortName"
"Secure Print - Color","Secure Print - Color","","NEPPRDPRINT1","NUL"
"Secure Print - Black & White","Secure Print - Black & White","","NEPPRDPRINT1","NUL"
"NEPPRINTER38 - Selina Spellman - Black & White","NEPPRINTER38 - Selina Spellman - Black & White","10.212.1.40 - ID# 268140","NEPPRDPRINT1","10.212.1.40"
"NEPPRINTER37 - Denise Silva - Black & White","NEPPRINTER37 - Denise Silva - Black & White","10.212.1.39 - ID# 268139","NEPPRDPRINT1","10.212.1.39"
"NEPPRINTER36 - Color","NEPPRINTER36 - Color","M477fdn - 10.212.1.150","NEPPRDPRINT1","10.212.1.150"
"NEPPRINTER36 - Black & White","NEPPRINTER36 - Black & White","M477fdn 10.212.1.150 ","NEPPRDPRINT1","10.212.1.150"
"NEPPRINTER35 - Black & White","NEPPRINTER35 - Black & White","10.212.0.228 - ID# 267974","NEPPRDPRINT1","10.212.0.228"
"NEPPRINTER34 - Black & White","NEPPRINTER34 - Black & White","10.212.1.135 Brent Gara","NEPPRDPRINT1","10.212.1.135"
"NEPPRINTER32 - Finance Check Printer - Black & white","NEPPRINTER32 - Finance Check Printer - Black & white","10.212.1.151","NEPPRDPRINT1","10.212.1.151"
"NEPPRINTER31 - Black & White","NEPPRINTER31 - Black & White","10.212.1.79 - ID# 268133","NEPPRDPRINT1","10.212.1.79"
"NEPPRINTER30 - Post Sterilization - Black & White","NEPPRINTER30 - Post Sterilization - Black & White","10.212.0.243","NEPPRDPRINT1","10.212.0.243"
"NEPPRINTER29 - Reception - Color","NEPPRINTER29 - Reception - Color","10.212.0.229 - ID# 267993","NEPPRDPRINT1","10.212.0.229"
"NEPPRINTER29 - Reception - Black & White","NEPPRINTER29 - Reception - Black & White","10.212.0.229 - ID# 267993","NEPPRDPRINT1","10.212.0.229"
"NEPPRINTER27 - Distribution 1930B - Color","NEPPRINTER27 - Distribution 1930B - Color","10.212.48.18 -  ID# 267976 - changed to 10.212.48.100","NEPPRDPRINT1","10.212.48.100"
"NEPPRINTER27 - Distribution 1930B - Black & White","NEPPRINTER27 - Distribution 1930B - Black & White","10.212.48.18 - ID# 267976 - changed to 10.212.48.100","NEPPRDPRINT1","10.212.48.100"
"NEPPRINTER26 - Color","NEPPRINTER26 - Color","10.212.48.14 - ID# 267997","NEPPRDPRINT1","10.212.48.14"
"NEPPRINTER26 - Black & White","NEPPRINTER26 - Black & White","10.212.48.14 - ID# 267997","NEPPRDPRINT1","10.212.48.14"
"NEPPRINTER25 - Color","NEPPRINTER25 - Color","10.212.0.230 - ID# 267992","NEPPRDPRINT1","10.212.0.230"
